60	60	7309.0	3.71380905	8.632813695662409e-05
90	90	7278.0	8.327753566666667	1.713437276375067e-05
120	120	7274.0	14.992005883333333	5.430361307873222e-06
150	150	7257.0	23.512436983333334	2.225961142321019e-06
180	180	7265.0	34.0044593	1.0739168691183696e-06
210	210	7252.0	47.4844442	5.798166385621753e-07
240	240	7263.0	63.30387111666666	3.3993224659472406e-07
270	270	7257.0	77.35665685000001	2.122412877587931e-07
300	300	7248.0	98.46511165	1.3926242054915108e-07
330	330	7257.0	114.00670681666666	9.512362052690603e-08
360	360	7259.0	153.00793008333332	6.716658524272257e-08
