60	60	7254.0	7.3313554666666665	1.05028312435973e-12
90	90	7254.0	7.923415733333333	5.363331306851293e-15
120	120	7254.0	13.411034483333333	3.0407534129528457e-15
150	150	7254.0	21.276915283333334	1.9651164376299768e-15
180	180	7254.0	32.30328648333333	1.3355202360676444e-15
210	210	7254.0	53.86196555	1.0076032889994035e-15
240	240	7254.0	67.69426115	7.617604463883154e-16
270	270	7254.0	102.18041525	5.920285962857097e-16
300	300	7254.0	147.62532668333333	4.810333988775062e-16
330	330	7254.0	190.43841316666666	3.950832716537178e-16
360	360	7254.0	222.8749590333333	3.335819034194776e-16
