60	60	7685.0	0.09074436666666667	1.0548827436562824e-12
90	90	7687.0	0.19647788333333333	7.73686670285656e-16
120	120	7687.0	0.3419352	4.597017211338539e-16
150	150	7689.0	0.55362585	3.10623922417097e-16
180	180	7687.0	1.2283127166666667	1.8767539605724082e-16
210	210	7689.0	1.1122864833333332	1.6398557858843255e-16
240	240	7687.0	1.8693519	1.1655173354219173e-16
270	270	7687.0	2.3345958666666666	8.185726402265558e-17
300	300	7687.0	3.185192766666667	6.773553072603189e-17
330	330	7687.0	3.826602966666667	5.3478272157847506e-17
360	360	7687.0	4.612929500000001	4.659358836256455e-17
