60	60	7739.0	0.42886658333333333	9.463829742245751e-06
90	90	7740.0	0.9690860833333333	4.246330891942386e-06
120	120	7741.0	1.5147821333333333	2.385642560062489e-06
150	150	7744.0	2.8188920166666667	1.5408575763277291e-06
180	180	7740.0	4.67798185	1.0682666681945357e-06
210	210	7743.0	6.780833333333334	7.845308164804903e-07
240	240	7742.0	10.038852966666667	6.014869845059466e-07
270	270	7741.0	10.111671766666666	4.7445948904778555e-07
300	300	7741.0	15.435291066666668	3.852143940757523e-07
330	330	7741.0	19.1886583	3.183163308756302e-07
360	360	7741.0	22.869459183333333	2.672787204703852e-07
