60	60	7597.0	0.38662551666666667	8.632813673011951e-05
90	90	7594.0	0.8697519	1.7134372663876567e-05
120	120	7570.0	1.5843215499999999	5.4303612481098294e-06
150	150	7614.0	2.48717105	2.2259611067345763e-06
180	180	7591.0	3.581409933333333	1.0739168426384662e-06
210	210	7611.0	4.901428050000001	5.798166203816227e-07
240	240	7569.0	6.5563838500000005	3.399322314536781e-07
270	270	7595.0	8.10163785	2.122412762836515e-07
300	300	7607.0	10.25137095	1.3926241143027897e-07
330	330	7572.0	13.005440966666667	9.512361253706785e-08
360	360	7587.0	14.852521099999999	6.716657854522628e-08
